,w_E=0%,w_E=1%,w_E=2%,w_E=3%,w_E=4%,w_E=5%,w_E=6%,w_E=7%,w_E=8%,w_E=9%,w_E=10%,w_E=11%,w_E=12%,w_E=13%,w_E=14%,w_E=15%,w_E=16%,w_E=17%,w_E=18%,w_E=19%,w_E=20%,w_E=21%,w_E=22%,w_E=23%,w_E=24%,w_E=25%,w_E=26%,w_E=27%,w_E=28%,w_E=29%,w_E=30%,w_E=31%,w_E=32%,w_E=33%,w_E=34%,w_E=35%,w_E=36%,w_E=37%,w_E=38%,w_E=39%,w_E=40%,w_E=41%,w_E=42%,w_E=43%,w_E=44%,w_E=45%,w_E=46%,w_E=47%,w_E=48%,w_E=49%,w_E=50%
α=16%,0.7949711225161198,0.7956467709873034,0.7963224194584873,0.7969980679296709,0.7976737164008546,0.7983493648720384,0.7990250133432222,0.7997006618144059,0.8003763102855899,0.8010519587567736,0.8017276072279573,0.8024032556991411,0.8030789041703249,0.8037545526415086,0.8044302011126925,0.8051058495838761,0.8057814980550599,0.8064571465262437,0.8071327949974274,0.8078084434686112,0.808484091939795,0.8091597404109787,0.8098353888821624,0.8105110373533462,0.8111866858245299,0.8118623342957138,0.8125379827668975,0.8132136312380813,0.8138892797092651,0.8145649281804488,0.8152405766516325,0.8159162251228163,0.8165918735940001,0.8172675220651837,0.8179431705363676,0.8186188190075514,0.8192944674787351,0.8199701159499189,0.8206457644211027,0.8213214128922864,0.8219970613634702,0.822672709834654,0.8233483583058379,0.8240240067770216,0.8246996552482053,0.825375303719389,0.8260509521905728,0.8267266006617566,0.8274022491329402,0.8280778976041241,0.8287535460753079
α=17%,0.7822336740962177,0.7829501287447349,0.783666583393252,0.7843830380417693,0.7850994926902867,0.7858159473388039,0.7865324019873212,0.7872488566358384,0.7879653112843559,0.788681765932873,0.7893982205813903,0.7901146752299075,0.7908311298784247,0.7915475845269421,0.7922640391754594,0.7929804938239766,0.7936969484724938,0.794413403121011,0.7951298577695285,0.7958463124180457,0.7965627670665629,0.7972792217150801,0.7979956763635976,0.7987121310121147,0.799428585660632,0.8001450403091493,0.8008614949576666,0.8015779496061839,0.8022944042547011,0.8030108589032183,0.8037273135517357,0.8044437682002528,0.8051602228487701,0.8058766774972874,0.8065931321458045,0.8073095867943219,0.8080260414428392,0.8087424960913565,0.8094589507398737,0.8101754053883911,0.8108918600369083,0.8116083146854256,0.8123247693339428,0.81304122398246,0.8137576786309774,0.8144741332794947,0.8151905879280119,0.8159070425765291,0.8166234972250463,0.8173399518735636,0.818056406522081
α=18%,0.7695071935035622,0.7702642571247396,0.7710213207459168,0.7717783843670942,0.7725354479882713,0.7732925116094488,0.774049575230626,0.7748066388518033,0.7755637024729807,0.776320766094158,0.7770778297153353,0.7778348933365127,0.7785919569576899,0.7793490205788672,0.7801060842000445,0.7808631478212218,0.7816202114423991,0.7823772750635765,0.7831343386847538,0.7838914023059311,0.7846484659271084,0.7854055295482857,0.786162593169463,0.7869196567906404,0.7876767204118176,0.7884337840329949,0.7891908476541722,0.7899479112753496,0.7907049748965269,0.7914620385177041,0.7922191021388814,0.7929761657600587,0.793733229381236,0.7944902930024134,0.7952473566235906,0.7960044202447679,0.7967614838659454,0.7975185474871225,0.7982756111082999,0.7990326747294773,0.7997897383506545,0.8005468019718318,0.8013038655930091,0.8020609292141865,0.8028179928353638,0.8035750564565411,0.8043321200777184,0.8050891836988957,0.8058462473200729,0.8066033109412503,0.8073603745624276
α=19%,0.7567920701137034,0.7575895395429828,0.7583870089722622,0.7591844784015416,0.759981947830821,0.7607794172601003,0.7615768866893796,0.7623743561186591,0.7631718255479387,0.7639692949772179,0.7647667644064975,0.7655642338357769,0.7663617032650563,0.7671591726943355,0.767956642123615,0.7687541115528944,0.7695515809821738,0.7703490504114532,0.7711465198407326,0.7719439892700121,0.7727414586992913,0.7735389281285707,0.7743363975578502,0.7751338669871296,0.7759313364164089,0.7767288058456883,0.7775262752749679,0.7783237447042473,0.7791212141335266,0.779918683562806,0.7807161529920854,0.7815136224213648,0.7823110918506442,0.7831085612799236,0.783906030709203,0.7847035001384823,0.7855009695677617,0.7862984389970411,0.7870959084263207,0.7878933778556001,0.7886908472848794,0.7894883167141589,0.7902857861434383,0.7910832555727176,0.791880725001997,0.7926781944312764,0.7934756638605558,0.7942731332898353,0.7950706027191146,0.7958680721483941,0.7966655415776734
α=20%,0.7440887107133229,0.74492637658045,0.7457640424475769,0.746601708314704,0.747439374181831,0.7482770400489579,0.749114705916085,0.7499523717832121,0.7507900376503391,0.7516277035174661,0.7524653693845932,0.7533030352517202,0.7541407011188471,0.7549783669859742,0.7558160328531012,0.7566536987202283,0.7574913645873551,0.7583290304544821,0.7591666963216092,0.7600043621887362,0.7608420280558632,0.7616796939229902,0.7625173597901171,0.7633550256572442,0.7641926915243713,0.765030357391498,0.7658680232586254,0.7667056891257523,0.7675433549928793,0.7683810208600064,0.7692186867271333,0.7700563525942603,0.7708940184613873,0.7717316843285144,0.7725693501956412,0.7734070160627684,0.7742446819298954,0.7750823477970223,0.7759200136641493,0.7767576795312765,0.7775953453984035,0.7784330112655304,0.7792706771326574,0.7801083429997846,0.7809460088669116,0.7817836747340385,0.7826213406011655,0.7834590064682925,0.7842966723354194,0.7851343382025465,0.7859720040696735
α=21%,0.7313975404029903,0.732275186873845,0.7331528333446994,0.7340304798155539,0.7349081262864084,0.735785772757263,0.7366634192281173,0.7375410656989719,0.7384187121698265,0.739296358640681,0.7401740051115355,0.7410516515823898,0.7419292980532445,0.7428069445240989,0.7436845909949534,0.744562237465808,0.7454398839366625,0.7463175304075169,0.7471951768783713,0.7480728233492259,0.7489504698200804,0.7498281162909349,0.7507057627617895,0.7515834092326439,0.7524610557034983,0.753338702174353,0.7542163486452075,0.7550939951160619,0.7559716415869164,0.7568492880577709,0.7577269345286254,0.7586045809994798,0.7594822274703343,0.7603598739411888,0.7612375204120434,0.7621151668828978,0.7629928133537522,0.7638704598246069,0.7647481062954613,0.765625752766316,0.7665033992371704,0.7673810457080249,0.7682586921788794,0.7691363386497339,0.7700139851205884,0.7708916315914429,0.7717692780622973,0.7726469245331519,0.7735245710040064,0.7744022174748608,0.7752798639457152
α=22%,0.7187190035501275,0.7196364080555,0.7205538125608725,0.7214712170662447,0.7223886215716173,0.7233060260769897,0.724223430582362,0.7251408350877345,0.7260582395931069,0.7269756440984795,0.7278930486038517,0.7288104531092241,0.7297278576145967,0.7306452621199689,0.7315626666253414,0.7324800711307137,0.7333974756360861,0.7343148801414586,0.735232284646831,0.7361496891522035,0.7370670936575758,0.7379844981629482,0.7389019026683207,0.739819307173693,0.7407367116790655,0.7416541161844379,0.7425715206898105,0.7434889251951827,0.7444063297005552,0.7453237342059276,0.7462411387113,0.7471585432166723,0.7480759477220448,0.7489933522274173,0.7499107567327896,0.750828161238162,0.7517455657435346,0.7526629702489069,0.7535803747542793,0.7544977792596517,0.755415183765024,0.7563325882703966,0.757249992775769,0.7581673972811414,0.7590848017865137,0.7600022062918862,0.7609196107972587,0.761837015302631,0.7627544198080034,0.7636718243133758,0.7645892288187481
α=23%,0.7060535647948314,0.7070104977454064,0.7079674306959811,0.7089243636465559,0.7098812965971305,0.7108382295477054,0.7117951624982801,0.7127520954488551,0.7137090283994297,0.7146659613500044,0.7156228943005792,0.7165798272511541,0.7175367602017289,0.7184936931523036,0.7194506261028784,0.7204075590534531,0.7213644920040279,0.7223214249546026,0.7232783579051775,0.7242352908557523,0.7251922238063271,0.7261491567569018,0.7271060897074766,0.7280630226580513,0.7290199556086261,0.7299768885592008,0.7309338215097757,0.7318907544603506,0.7328476874109253,0.7338046203615,0.7347615533120748,0.7357184862626496,0.7366754192132243,0.7376323521637991,0.7385892851143738,0.7395462180649486,0.7405031510155234,0.7414600839660983,0.7424170169166731,0.7433739498672478,0.7443308828178226,0.7452878157683973,0.7462447487189722,0.747201681669547,0.7481586146201217,0.7491155475706965,0.7500724805212713,0.751029413471846,0.7519863464224208,0.7529432793729955,0.7539002123235703
α=24%,0.6934017101112869,0.6943979345980527,0.6953941590848186,0.6963903835715843,0.6973866080583502,0.6983828325451159,0.6993790570318817,0.7003752815186476,0.7013715060054135,0.7023677304921794,0.7033639549789452,0.704360179465711,0.7053564039524768,0.7063526284392426,0.7073488529260084,0.7083450774127743,0.7093413018995401,0.7103375263863059,0.7113337508730717,0.7123299753598376,0.7133261998466034,0.714322424333369,0.7153186488201351,0.7163148733069007,0.7173110977936668,0.7183073222804324,0.7193035467671984,0.720299771253964,0.72129599574073,0.7222922202274957,0.7232884447142616,0.7242846692010273,0.7252808936877932,0.7262771181745591,0.7272733426613248,0.7282695671480908,0.7292657916348565,0.7302620161216223,0.7312582406083883,0.7322544650951541,0.7332506895819199,0.7342469140686857,0.7352431385554515,0.7362393630422173,0.7372355875289831,0.738231812015749,0.7392280365025148,0.7402242609892806,0.7412204854760465,0.7422167099628123,0.7432129344495781
α=25%,0.6807639479275782,0.6817992194068399,0.6828344908861016,0.6838697623653632,0.6849050338446249,0.6859403053238866,0.6869755768031482,0.68801084828241,0.6890461197616717,0.6900813912409334,0.6911166627201951,0.6921519341994568,0.6931872056787185,0.69422247715798,0.6952577486372418,0.6962930201165034,0.6973282915957651,0.6983635630750267,0.6993988345542884,0.7004341060335502,0.7014693775128118,0.7025046489920734,0.7035399204713351,0.7045751919505968,0.7056104634298586,0.7066457349091202,0.7076810063883818,0.7087162778676435,0.7097515493469052,0.7107868208261667,0.7118220923054285,0.7128573637846902,0.7138926352639519,0.7149279067432135,0.7159631782224752,0.716998449701737,0.7180337211809986,0.7190689926602603,0.720104264139522,0.7211395356187836,0.7221748070980454,0.723210078577307,0.7242453500565686,0.7252806215358304,0.726315893015092,0.7273511644943538,0.7283864359736154,0.729421707452877,0.7304569789321388,0.7314922504114004,0.7325275218906621
