场景,时间（年）,成本（亿美元）,碳排放（万吨）
scenario1,187.1750029898826,497.6527171171579,1000.0
scenario2,1562.4531736013535,10776.235772470183,100000.0
scenario3,682.7177819186393,4517.845393019078,50500.3860941654
